# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	41782	42150	-	WP_071455965.1	WP_071455965.1		hypothetical protein			BHY08_RS00195	369	122	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	42506	43561	+							BHY08_RS00200	1056		old_locus_tag=BHY08_00200
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	42506	43561	+	WP_071455966.1	WP_071455966.1		AEC family transporter			BHY08_RS00200	1056	351	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	43596	44597	+							BHY08_RS00205	1002		old_locus_tag=BHY08_00205
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	43596	44597	+	WP_071455967.1	WP_071455967.1		2-hydroxyacid dehydrogenase			BHY08_RS00205	1002	333	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	44633	45313	-							BHY08_RS00210	681		old_locus_tag=BHY08_00210
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	44633	45313	-	WP_071455968.1	WP_071455968.1		response regulator			BHY08_RS00210	681	226	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	45294	46943	-							BHY08_RS00215	1650		old_locus_tag=BHY08_00215
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	45294	46943	-	WP_071455969.1	WP_071455969.1		ATP-binding protein			BHY08_RS00215	1650	549	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	47094	47663	-							BHY08_RS00220	570		old_locus_tag=BHY08_00220
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	47094	47663	-	WP_071455970.1	WP_071455970.1		methyltransferase domain-containing protein			BHY08_RS00220	570	189	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	47656	48624	-							BHY08_RS00225	969		old_locus_tag=BHY08_00225
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	47656	48624	-	WP_071455971.1	WP_071455971.1		TIGR01212 family radical SAM protein			BHY08_RS00225	969	322	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	48621	49277	-							BHY08_RS00230	657		old_locus_tag=BHY08_00230
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	48621	49277	-	WP_071455972.1	WP_071455972.1		phosphatase PAP2 family protein			BHY08_RS00230	657	218	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	49349	50404	-							BHY08_RS00235	1056		old_locus_tag=BHY08_00235
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	49349	50404	-	WP_071455973.1	WP_071455973.1		DUF4097 family beta strand repeat-containing protein			BHY08_RS00235	1056	351	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	50401	51027	-							BHY08_RS00240	627		old_locus_tag=BHY08_00240
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	50401	51027	-	WP_071455974.1	WP_071455974.1		DUF1700 domain-containing protein			BHY08_RS00240	627	208	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	51463	52362	+							BHY08_RS10860	900		old_locus_tag=BHY08_00245
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	51463	52362	+	WP_071455975.1	WP_071455975.1		hypothetical protein			BHY08_RS10860	900	299	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	52479	54071	+							BHY08_RS00250	1593		old_locus_tag=BHY08_00250
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	52479	54071	+	WP_157093608.1	WP_157093608.1		LysM peptidoglycan-binding domain-containing protein			BHY08_RS00250	1593	530	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	54374	56788	+					leuS		BHY08_RS00255	2415		old_locus_tag=BHY08_00255
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	54374	56788	+	WP_071455977.1	WP_071455977.1		leucine--tRNA ligase	leuS		BHY08_RS00255	2415	804	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	56885	58531	+							BHY08_RS00260	1647		old_locus_tag=BHY08_00260
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	56885	58531	+	WP_071455978.1	WP_071455978.1		polysaccharide biosynthesis protein			BHY08_RS00260	1647	548	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	58584	59306	+							BHY08_RS00265	723		old_locus_tag=BHY08_00265
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	58584	59306	+	WP_071455979.1	WP_071455979.1		rRNA pseudouridine synthase			BHY08_RS00265	723	240	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	59394	60800	+					pepV		BHY08_RS00270	1407		old_locus_tag=BHY08_00270
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	59394	60800	+	WP_071455980.1	WP_071455980.1		dipeptidase PepV	pepV		BHY08_RS00270	1407	468	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	60847	61641	-							BHY08_RS00275	795		old_locus_tag=BHY08_00275
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	60847	61641	-	WP_071455981.1	WP_071455981.1		glycerophosphodiester phosphodiesterase			BHY08_RS00275	795	264	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	61736	64075	-							BHY08_RS00280	2340		old_locus_tag=BHY08_00280
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	61736	64075	-	WP_071455982.1	WP_071455982.1		ABC transporter ATP-binding protein/permease			BHY08_RS00280	2340	779	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	64830	65039	-							BHY08_RS00285	210		old_locus_tag=BHY08_00285
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	64830	65039	-	WP_071455983.1	WP_071455983.1		CsbD family protein			BHY08_RS00285	210	69	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	65260	65520	+							BHY08_RS00290	261		old_locus_tag=BHY08_00290
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	65260	65520	+	WP_071455984.1	WP_071455984.1		hypothetical protein			BHY08_RS00290	261	86	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	65712	65999	-							BHY08_RS00295	288		old_locus_tag=BHY08_00295
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	65712	65999	-	WP_071455985.1	WP_071455985.1		LPXTG cell wall anchor domain-containing protein			BHY08_RS00295	288	95	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	66722	66904	-							BHY08_RS00300	183		old_locus_tag=BHY08_00300
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	66722	66904	-	WP_071455986.1	WP_071455986.1		hypothetical protein			BHY08_RS00300	183	60	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	67062	68201	+							BHY08_RS00305	1140		old_locus_tag=BHY08_00305
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	67062	68201	+	WP_071455987.1	WP_071455987.1		ArgE/DapE family deacylase			BHY08_RS00305	1140	379	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	68216	68653	+							BHY08_RS00310	438		old_locus_tag=BHY08_00310
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	68216	68653	+	WP_071455988.1	WP_071455988.1		NUDIX domain-containing protein			BHY08_RS00310	438	145	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	68696	68854	-							BHY08_RS10865	159		
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	68696	68854	-	WP_157093609.1	WP_157093609.1		hypothetical protein			BHY08_RS10865	159	52	
gene	pseudogene	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	69110	69931	-							BHY08_RS00315	822		pseudo;old_locus_tag=BHY08_00315
CDS	without_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	69110	69931	-				linear amide C-N hydrolase			BHY08_RS00315	822		pseudo
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	70179	70550	+							BHY08_RS00320	372		old_locus_tag=BHY08_00320
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	70179	70550	+	WP_071455989.1	WP_071455989.1		YxeA family protein			BHY08_RS00320	372	123	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	70589	71326	-							BHY08_RS00325	738		old_locus_tag=BHY08_00325
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	70589	71326	-	WP_071455990.1	WP_071455990.1		amino acid ABC transporter ATP-binding protein			BHY08_RS00325	738	245	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	71326	72864	-							BHY08_RS00330	1539		old_locus_tag=BHY08_00330
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	71326	72864	-	WP_245730009.1	WP_245730009.1		ABC transporter permease subunit			BHY08_RS00330	1539	512	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	73331	74239	+							BHY08_RS00335	909		old_locus_tag=BHY08_00335
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	73331	74239	+	WP_071455992.1	WP_071455992.1		EamA family transporter			BHY08_RS00335	909	302	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	74260	74958	+							BHY08_RS00340	699		old_locus_tag=BHY08_00340
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	74260	74958	+	WP_245729982.1	WP_245729982.1		NAD-dependent protein deacylase			BHY08_RS00340	699	232	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	74989	75249	+							BHY08_RS00345	261		old_locus_tag=BHY08_00345
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	74989	75249	+	WP_071455993.1	WP_071455993.1		chorismate mutase			BHY08_RS00345	261	86	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	75389	75796	+							BHY08_RS00350	408		old_locus_tag=BHY08_00350
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	75389	75796	+	WP_071455994.1	WP_071455994.1		GNAT family N-acetyltransferase			BHY08_RS00350	408	135	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	76275	77363	+							BHY08_RS00355	1089		old_locus_tag=BHY08_00355
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	76275	77363	+	WP_071455995.1	WP_071455995.1		serine hydrolase			BHY08_RS00355	1089	362	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	77545	78153	+							BHY08_RS00360	609		old_locus_tag=BHY08_00360
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	77545	78153	+	WP_071455996.1	WP_071455996.1		helix-turn-helix domain-containing protein			BHY08_RS00360	609	202	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	78150	78338	+							BHY08_RS00365	189		old_locus_tag=BHY08_00365
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	78150	78338	+	WP_071455997.1	WP_071455997.1		hypothetical protein			BHY08_RS00365	189	62	
gene	pseudogene	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	78330	78671	-							BHY08_RS11090	342		partial;pseudo
CDS	without_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	78330	78671	-				IS30 family transposase			BHY08_RS11090	342		partial;pseudo
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	79559	80305	+							BHY08_RS00370	747		old_locus_tag=BHY08_00370
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	79559	80305	+	WP_245729997.1	WP_245729997.1		phosphoglycerate mutase family protein			BHY08_RS00370	747	248	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	80419	82089	+							BHY08_RS00375	1671		old_locus_tag=BHY08_00375
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	80419	82089	+	WP_071455999.1	WP_071455999.1		DUF2264 domain-containing protein			BHY08_RS00375	1671	556	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	82140	83513	-							BHY08_RS00380	1374		old_locus_tag=BHY08_00380
