# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	10551	11900	-	WP_166006242.1	WP_166006242.1		exodeoxyribonuclease VII large subunit	xseA		G7081_RS00070	1350	449	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	11929	12759	-							G7081_RS00075	831		old_locus_tag=G7081_00075
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	11929	12759	-	WP_166006244.1	WP_166006244.1		bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase			G7081_RS00075	831	276	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	12836	13312	-					nusB		G7081_RS00080	477		old_locus_tag=G7081_00080
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	12836	13312	-	WP_166008346.1	WP_166008346.1		transcription antitermination factor NusB	nusB		G7081_RS00080	477	158	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	13275	13727	-							G7081_RS00085	453		old_locus_tag=G7081_00085
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	13275	13727	-	WP_166006246.1	WP_166006246.1		Asp23/Gls24 family envelope stress response protein			G7081_RS00085	453	150	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	13880	14944	-							G7081_RS00090	1065		old_locus_tag=G7081_00090
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	13880	14944	-	WP_166006248.1	WP_166006248.1		Xaa-Pro peptidase family protein			G7081_RS00090	1065	354	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	15080	16603	-							G7081_RS00095	1524		old_locus_tag=G7081_00095
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	15080	16603	-	WP_166006250.1	WP_166006250.1		flavocytochrome c			G7081_RS00095	1524	507	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	16763	19030	-							G7081_RS00100	2268		old_locus_tag=G7081_00100
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	16763	19030	-	WP_166006252.1	WP_166006252.1		Ig-like domain-containing protein			G7081_RS00100	2268	755	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	19229	20737	+							G7081_RS00105	1509		old_locus_tag=G7081_00105
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	19229	20737	+	WP_166006254.1	WP_166006254.1		helix-turn-helix domain-containing protein			G7081_RS00105	1509	502	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	20766	21971	-							G7081_RS00110	1206		old_locus_tag=G7081_00110
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	20766	21971	-	WP_166006256.1	WP_166006256.1		LPXTG cell wall anchor domain-containing protein			G7081_RS00110	1206	401	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	22816	23337	-							G7081_RS00115	522		old_locus_tag=G7081_00115
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	22816	23337	-	WP_166006258.1	WP_166006258.1		hypothetical protein			G7081_RS00115	522	173	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	23787	24578	+							G7081_RS00120	792		old_locus_tag=G7081_00120
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	23787	24578	+	WP_166006260.1	WP_166006260.1		class I SAM-dependent methyltransferase			G7081_RS00120	792	263	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	24570	25322	-							G7081_RS00125	753		old_locus_tag=G7081_00125
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	24570	25322	-	WP_166006262.1	WP_166006262.1		hypothetical protein			G7081_RS00125	753	250	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	25420	26310	+							G7081_RS00130	891		old_locus_tag=G7081_00130
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	25420	26310	+	WP_166006264.1	WP_166006264.1		tyrosine-type recombinase/integrase			G7081_RS00130	891	296	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	26927	27211	-					rpmA		G7081_RS00135	285		old_locus_tag=G7081_00135
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	26927	27211	-	WP_166006266.1	WP_166006266.1		50S ribosomal protein L27	rpmA		G7081_RS00135	285	94	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	27226	27567	-							G7081_RS00140	342		old_locus_tag=G7081_00140
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	27226	27567	-	WP_166006268.1	WP_166006268.1		ribosomal-processing cysteine protease Prp			G7081_RS00140	342	113	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	27594	27902	-					rplU		G7081_RS00145	309		old_locus_tag=G7081_00145
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	27594	27902	-	WP_166006270.1	WP_166006270.1		50S ribosomal protein L21	rplU		G7081_RS00145	309	102	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	28108	28725	-							G7081_RS00150	618		old_locus_tag=G7081_00150
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	28108	28725	-	WP_166006272.1	WP_166006272.1		TetR/AcrR family transcriptional regulator			G7081_RS00150	618	205	
gene	tRNA	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	28976	29049	+							G7081_RS00155	74		old_locus_tag=G7081_00155
tRNA		GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	28976	29049	+				tRNA-Arg			G7081_RS00155	74		anticodon=TCT
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	29096	29398	-							G7081_RS00160	303		old_locus_tag=G7081_00160
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	29096	29398	-	WP_166006274.1	WP_166006274.1		bacteriocin immunity protein			G7081_RS00160	303	100	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	29609	30373	+							G7081_RS00165	765		old_locus_tag=G7081_00165
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	29609	30373	+	WP_166006276.1	WP_166006276.1		hypothetical protein			G7081_RS00165	765	254	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	30414	31745	-					rpoN		G7081_RS00170	1332		old_locus_tag=G7081_00170
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	30414	31745	-	WP_166006278.1	WP_166006278.1		RNA polymerase factor sigma-54	rpoN		G7081_RS00170	1332	443	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	31850	32938	-							G7081_RS00175	1089		old_locus_tag=G7081_00175
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	31850	32938	-	WP_166006280.1	WP_166006280.1		MupG family TIM beta-alpha barrel fold protein			G7081_RS00175	1089	362	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	32935	34329	-							G7081_RS00180	1395		old_locus_tag=G7081_00180
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	32935	34329	-	WP_166006282.1	WP_166006282.1		glycoside hydrolase family 1 protein			G7081_RS00180	1395	464	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	34426	35679	-							G7081_RS00185	1254		old_locus_tag=G7081_00185
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	34426	35679	-	WP_166006284.1	WP_166006284.1		PTS sugar transporter subunit IIC			G7081_RS00185	1254	417	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	35701	36879	-							G7081_RS00190	1179		old_locus_tag=G7081_00190
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	35701	36879	-	WP_166006286.1	WP_166006286.1		GNAT family N-acetyltransferase			G7081_RS00190	1179	392	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	36905	37222	-							G7081_RS00195	318		old_locus_tag=G7081_00195
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	36905	37222	-	WP_166006288.1	WP_166006288.1		PTS lactose/cellobiose transporter subunit IIA			G7081_RS00195	318	105	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	37253	37573	-							G7081_RS00200	321		old_locus_tag=G7081_00200
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	37253	37573	-	WP_166006290.1	WP_166006290.1		PTS sugar transporter subunit IIB			G7081_RS00200	321	106	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	37730	40408	-							G7081_RS00205	2679		old_locus_tag=G7081_00205
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	37730	40408	-	WP_238786639.1	WP_238786639.1		sigma 54-interacting transcriptional regulator			G7081_RS00205	2679	892	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	40582	41130	+							G7081_RS00210	549		old_locus_tag=G7081_00210
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	40582	41130	+	WP_166006292.1	WP_166006292.1		hypothetical protein			G7081_RS00210	549	182	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	41160	41843	-							G7081_RS00215	684		old_locus_tag=G7081_00215
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	41160	41843	-	WP_166006295.1	WP_166006295.1		O-methyltransferase			G7081_RS00215	684	227	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	41865	42158	-							G7081_RS00220	294		old_locus_tag=G7081_00220
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	41865	42158	-	WP_166006297.1	WP_166006297.1		nucleoside triphosphate pyrophosphohydrolase family protein			G7081_RS00220	294	97	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	42188	42778	-					yihA		G7081_RS00225	591		old_locus_tag=G7081_00225
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	42188	42778	-	WP_166006299.1	WP_166006299.1		ribosome biogenesis GTP-binding protein YihA/YsxC	yihA		G7081_RS00225	591	196	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	42911	44155	-					clpX		G7081_RS00230	1245		old_locus_tag=G7081_00230
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	42911	44155	-	WP_166006300.1	WP_166006300.1		ATP-dependent Clp protease ATP-binding subunit ClpX	clpX		G7081_RS00230	1245	414	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	44298	45581	-					tig		G7081_RS00235	1284		old_locus_tag=G7081_00235
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	44298	45581	-	WP_166006302.1	WP_166006302.1		trigger factor	tig		G7081_RS00235	1284	427	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	45708	46658	-							G7081_RS00240	951		old_locus_tag=G7081_00240
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	45708	46658	-	WP_166006304.1	WP_166006304.1		hypothetical protein			G7081_RS00240	951	316	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	46730	46966	-							G7081_RS00245	237		old_locus_tag=G7081_00245
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	46730	46966	-	WP_166006306.1	WP_166006306.1		YkuJ family protein			G7081_RS00245	237	78	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	47056	47919	-							G7081_RS00250	864		old_locus_tag=G7081_00250
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	47056	47919	-	WP_166006308.1	WP_166006308.1		NAD(P)-dependent oxidoreductase			G7081_RS00250	864	287	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	47996	49018	-							G7081_RS00255	1023		old_locus_tag=G7081_00255
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	47996	49018	-	WP_166006309.1	WP_166006309.1		flippase-like domain-containing protein			G7081_RS00255	1023	340	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	49043	50227	-							G7081_RS00260	1185		old_locus_tag=G7081_00260
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	49043	50227	-	WP_166006312.1	WP_166006312.1		glycosyltransferase family 4 protein			G7081_RS00260	1185	394	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	50250	51254	-							G7081_RS00265	1005		old_locus_tag=G7081_00265
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	50250	51254	-	WP_166006314.1	WP_166006314.1		glycosyltransferase family 4 protein			G7081_RS00265	1005	334	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	51458	53179	-					ptsP		G7081_RS00270	1722		old_locus_tag=G7081_00270
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	51458	53179	-	WP_166006316.1	WP_166006316.1		phosphoenolpyruvate--protein phosphotransferase	ptsP		G7081_RS00270	1722	573	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	53179	53445	-							G7081_RS00275	267		old_locus_tag=G7081_00275
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	53179	53445	-	WP_166006318.1	WP_166006318.1		phosphocarrier protein HPr			G7081_RS00275	267	88	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	53611	53799	-							G7081_RS00280	189		old_locus_tag=G7081_00280
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	53611	53799	-	WP_166006320.1	WP_166006320.1		hypothetical protein			G7081_RS00280	189	62	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	54002	54307	+							G7081_RS00285	306		old_locus_tag=G7081_00285
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	54002	54307	+	WP_166006322.1	WP_166006322.1		DUF1827 family protein			G7081_RS00285	306	101	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	54355	55932	-							G7081_RS00290	1578		old_locus_tag=G7081_00290
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	54355	55932	-	WP_166006324.1	WP_166006324.1		peptide chain release factor 3			G7081_RS00290	1578	525	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	56131	57453	-							G7081_RS00295	1323		old_locus_tag=G7081_00295
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	56131	57453	-	WP_166006326.1	WP_166006326.1		hemolysin family protein			G7081_RS00295	1323	440	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	57556	58677	-							G7081_RS00300	1122		old_locus_tag=G7081_00300
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	57556	58677	-	WP_166006328.1	WP_166006328.1		AI-2E family transporter			G7081_RS00300	1122	373	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	58823	59359	-							G7081_RS00305	537		old_locus_tag=G7081_00305
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	58823	59359	-	WP_166006330.1	WP_166006330.1		DUF402 domain-containing protein			G7081_RS00305	537	178	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	59504	60676	-					mutY		G7081_RS00310	1173		old_locus_tag=G7081_00310
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	59504	60676	-	WP_166006333.1	WP_166006333.1		A/G-specific adenine glycosylase	mutY		G7081_RS00310	1173	390	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	60669	61478	-					recX		G7081_RS00315	810		old_locus_tag=G7081_00315
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	60669	61478	-	WP_166006335.1	WP_166006335.1		recombination regulator RecX	recX		G7081_RS00315	810	269	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	61615	63003	+					rlmD		G7081_RS00320	1389		old_locus_tag=G7081_00320
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	61615	63003	+	WP_166006337.1	WP_166006337.1		23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	rlmD		G7081_RS00320	1389	462	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	63022	63756	-							G7081_RS00325	735		old_locus_tag=G7081_00325
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	63022	63756	-	WP_166006339.1	WP_166006339.1		hypothetical protein			G7081_RS00325	735	244	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	63920	64153	+							G7081_RS00330	234		old_locus_tag=G7081_00330
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	63920	64153	+	WP_166006341.1	WP_166006341.1		hypothetical protein			G7081_RS00330	234	77	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	64146	64361	+							G7081_RS00335	216		old_locus_tag=G7081_00335
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	64146	64361	+	WP_166006343.1	WP_166006343.1		DUF2922 domain-containing protein			G7081_RS00335	216	71	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	64394	65296	-							G7081_RS00340	903		old_locus_tag=G7081_00340
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	64394	65296	-	WP_166008348.1	WP_166008348.1		LCP family protein			G7081_RS00340	903	300	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	65408	66508	-					wecB		G7081_RS00345	1101		old_locus_tag=G7081_00345
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	65408	66508	-	WP_202982276.1	WP_202982276.1		UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	wecB		G7081_RS00345	1101	366	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	66632	67027	-					tagD		G7081_RS00350	396		old_locus_tag=G7081_00350
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	66632	67027	-	WP_166006347.1	WP_166006347.1		glycerol-3-phosphate cytidylyltransferase	tagD		G7081_RS00350	396	131	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	67061	67879	-							G7081_RS00355	819		old_locus_tag=G7081_00355
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	67061	67879	-	WP_166006349.1	WP_166006349.1		ABC transporter permease			G7081_RS00355	819	272	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	67906	68640	-							G7081_RS00360	735		old_locus_tag=G7081_00360
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	67906	68640	-	WP_166008349.1	WP_166008349.1		WecB/TagA/CpsF family glycosyltransferase			G7081_RS00360	735	244	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	68663	69799	-							G7081_RS00365	1137		old_locus_tag=G7081_00365
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	68663	69799	-	WP_166006351.1	WP_166006351.1		CDP-glycerol glycerophosphotransferase family protein			G7081_RS00365	1137	378	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	69825	70817	-							G7081_RS00370	993		old_locus_tag=G7081_00370
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	69825	70817	-	WP_166008350.1	WP_166008350.1		ABC transporter ATP-binding protein			G7081_RS00370	993	330	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	70959	72482	-							G7081_RS00375	1524		old_locus_tag=G7081_00375
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	70959	72482	-	WP_166006353.1	WP_166006353.1		LCP family protein			G7081_RS00375	1524	507	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	72659	73813	+							G7081_RS00380	1155		old_locus_tag=G7081_00380
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	72659	73813	+	WP_166006355.1	WP_166006355.1		undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase			G7081_RS00380	1155	384	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	73823	74749	-							G7081_RS00385	927		old_locus_tag=G7081_00385
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	73823	74749	-	WP_166006357.1	WP_166006357.1		YihY/virulence factor BrkB family protein			G7081_RS00385	927	308	
