# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	22800	24134	-							G7082_RS00145	1335		old_locus_tag=G7082_00145
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	22800	24134	-	WP_166033161.1	WP_166033161.1		ParB N-terminal domain-containing protein			G7082_RS00145	1335	444	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	24180	24770	-							G7082_RS00150	591		old_locus_tag=G7082_00150
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	24180	24770	-	WP_166033162.1	WP_166033162.1		hypothetical protein			G7082_RS00150	591	196	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	25000	25470	-							G7082_RS00155	471		old_locus_tag=G7082_00155
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	25000	25470	-	WP_166033163.1	WP_166033163.1		hypothetical protein			G7082_RS00155	471	156	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	25508	25741	-							G7082_RS00160	234		old_locus_tag=G7082_00160
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	25508	25741	-	WP_166033164.1	WP_166033164.1		helix-turn-helix domain-containing protein			G7082_RS00160	234	77	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	25743	26435	-							G7082_RS00165	693		old_locus_tag=G7082_00165
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	25743	26435	-	WP_238842671.1	WP_238842671.1		hypothetical protein			G7082_RS00165	693	230	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	26432	26707	-							G7082_RS00170	276		old_locus_tag=G7082_00170
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	26432	26707	-	WP_166033165.1	WP_166033165.1		hypothetical protein			G7082_RS00170	276	91	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	26720	27172	-							G7082_RS00175	453		old_locus_tag=G7082_00175
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	26720	27172	-	WP_166033166.1	WP_166033166.1		RusA family crossover junction endodeoxyribonuclease			G7082_RS00175	453	150	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	27173	27907	-							G7082_RS00180	735		old_locus_tag=G7082_00180
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	27173	27907	-	WP_166033167.1	WP_166033167.1		hypothetical protein			G7082_RS00180	735	244	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	27912	28115	-							G7082_RS00185	204		old_locus_tag=G7082_00185
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	27912	28115	-	WP_166033168.1	WP_166033168.1		hypothetical protein			G7082_RS00185	204	67	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	28108	28563	-							G7082_RS00190	456		old_locus_tag=G7082_00190
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	28108	28563	-	WP_166033169.1	WP_166033169.1		hypothetical protein			G7082_RS00190	456	151	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	28575	29375	-							G7082_RS00195	801		old_locus_tag=G7082_00195
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	28575	29375	-	WP_166033170.1	WP_166033170.1		ATP-binding protein			G7082_RS00195	801	266	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	29377	30261	-							G7082_RS00200	885		old_locus_tag=G7082_00200
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	29377	30261	-	WP_166033171.1	WP_166033171.1		DnaD domain protein			G7082_RS00200	885	294	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	30273	30995	-							G7082_RS00205	723		old_locus_tag=G7082_00205
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	30273	30995	-	WP_166033172.1	WP_166033172.1		MBL fold metallo-hydrolase			G7082_RS00205	723	240	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	30992	32047	-							G7082_RS00210	1056		old_locus_tag=G7082_00210
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	30992	32047	-	WP_166033173.1	WP_166033173.1		recombinase RecT			G7082_RS00210	1056	351	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	32040	32339	-							G7082_RS00215	300		old_locus_tag=G7082_00215
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	32040	32339	-	WP_166033174.1	WP_166033174.1		hypothetical protein			G7082_RS00215	300	99	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	32340	34277	-							G7082_RS00220	1938		old_locus_tag=G7082_00220
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	32340	34277	-	WP_166033175.1	WP_166033175.1		AAA family ATPase			G7082_RS00220	1938	645	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	34270	34644	-							G7082_RS00225	375		old_locus_tag=G7082_00225
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	34270	34644	-	WP_166033176.1	WP_166033176.1		hypothetical protein			G7082_RS00225	375	124	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	34668	34943	-							G7082_RS00230	276		old_locus_tag=G7082_00230
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	34668	34943	-	WP_166033177.1	WP_166033177.1		hypothetical protein			G7082_RS00230	276	91	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	34958	35155	-							G7082_RS00235	198		old_locus_tag=G7082_00235
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	34958	35155	-	WP_166033178.1	WP_166033178.1		hypothetical protein			G7082_RS00235	198	65	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	35155	36366	-							G7082_RS00240	1212		old_locus_tag=G7082_00240
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	35155	36366	-	WP_238842672.1	WP_238842672.1		PcfJ domain-containing protein			G7082_RS00240	1212	403	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	36511	36903	-							G7082_RS00245	393		old_locus_tag=G7082_00245
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	36511	36903	-	WP_238842673.1	WP_238842673.1		PcfK-like family protein			G7082_RS00245	393	130	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	36893	37057	-							G7082_RS00250	165		old_locus_tag=G7082_00250
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	36893	37057	-	WP_166033179.1	WP_166033179.1		hypothetical protein			G7082_RS00250	165	54	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	37185	37424	-							G7082_RS00255	240		old_locus_tag=G7082_00255
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	37185	37424	-	WP_166033180.1	WP_166033180.1		helix-turn-helix domain-containing protein			G7082_RS00255	240	79	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	37475	37678	-							G7082_RS00260	204		old_locus_tag=G7082_00260
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	37475	37678	-	WP_166033181.1	WP_166033181.1		helix-turn-helix transcriptional regulator			G7082_RS00260	204	67	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	37844	38194	+							G7082_RS00265	351		old_locus_tag=G7082_00265
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	37844	38194	+	WP_202983118.1	WP_202983118.1		helix-turn-helix domain-containing protein			G7082_RS00265	351	116	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	38205	38654	+							G7082_RS00270	450		old_locus_tag=G7082_00270
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	38205	38654	+	WP_166033182.1	WP_166033182.1		hypothetical protein			G7082_RS00270	450	149	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	38744	39025	+							G7082_RS00275	282		old_locus_tag=G7082_00275
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	38744	39025	+	WP_166033183.1	WP_166033183.1		hypothetical protein			G7082_RS00275	282	93	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	39142	40389	+							G7082_RS00280	1248		old_locus_tag=G7082_00280
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	39142	40389	+	WP_166033184.1	WP_166033184.1		site-specific integrase			G7082_RS00280	1248	415	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	40421	41815	-					sufB		G7082_RS00285	1395		old_locus_tag=G7082_00285
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	40421	41815	-	WP_166033185.1	WP_166033185.1		Fe-S cluster assembly protein SufB	sufB		G7082_RS00285	1395	464	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	41821	42300	-							G7082_RS00290	480		old_locus_tag=G7082_00290
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	41821	42300	-	WP_166033186.1	WP_166033186.1		SUF system NifU family Fe-S cluster assembly protein			G7082_RS00290	480	159	
gene	pseudogene	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	42287	43518	-							G7082_RS00295	1232		pseudo;old_locus_tag=G7082_00295
CDS	without_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	42287	43518	-				cysteine desulfurase			G7082_RS00295	1232		pseudo
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	43520	44809	-					sufD		G7082_RS00300	1290		old_locus_tag=G7082_00300
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	43520	44809	-	WP_166033187.1	WP_166033187.1		Fe-S cluster assembly protein SufD	sufD		G7082_RS00300	1290	429	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	44829	45602	-					sufC		G7082_RS00305	774		old_locus_tag=G7082_00305
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	44829	45602	-	WP_166033188.1	WP_166033188.1		Fe-S cluster assembly ATPase SufC	sufC		G7082_RS00305	774	257	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	45842	47179	-							G7082_RS00310	1338		old_locus_tag=G7082_00310
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	45842	47179	-	WP_166033189.1	WP_166033189.1		LPXTG cell wall anchor domain-containing protein			G7082_RS00310	1338	445	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	47453	48529	+							G7082_RS00315	1077		old_locus_tag=G7082_00315
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	47453	48529	+	WP_166033190.1	WP_166033190.1		Xaa-Pro peptidase family protein			G7082_RS00315	1077	358	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	48545	49429	+							G7082_RS00320	885		old_locus_tag=G7082_00320
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	48545	49429	+	WP_166033191.1	WP_166033191.1		proline iminopeptidase-family hydrolase			G7082_RS00320	885	294	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	49450	50817	+							G7082_RS00325	1368		old_locus_tag=G7082_00325
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	49450	50817	+	WP_166033192.1	WP_166033192.1		peptide MFS transporter			G7082_RS00325	1368	455	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	51118	51936	-							G7082_RS00330	819		old_locus_tag=G7082_00330
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	51118	51936	-	WP_238842737.1	WP_238842737.1		MetQ/NlpA family ABC transporter substrate-binding protein			G7082_RS00330	819	272	
gene	pseudogene	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	51991	52674	-							G7082_RS14960	684		partial;pseudo
CDS	without_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	51991	52674	-				ABC transporter permease			G7082_RS14960	684		partial;pseudo
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	52667	53704	-							G7082_RS00335	1038		old_locus_tag=G7082_00335
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	52667	53704	-	WP_166033193.1	WP_166033193.1		methionine ABC transporter ATP-binding protein			G7082_RS00335	1038	345	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	54193	54864	+					deoC		G7082_RS00340	672		old_locus_tag=G7082_00340
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	54193	54864	+	WP_166033194.1	WP_166033194.1		deoxyribose-phosphate aldolase	deoC		G7082_RS00340	672	223	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	55162	55419	-							G7082_RS00345	258		old_locus_tag=G7082_00345
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	55162	55419	-	WP_166033195.1	WP_166033195.1		metal-sensitive transcriptional regulator			G7082_RS00345	258	85	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	55453	57090	-							G7082_RS00350	1638		old_locus_tag=G7082_00350
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	55453	57090	-	WP_166033196.1	WP_166033196.1		FAD-dependent oxidoreductase			G7082_RS00350	1638	545	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	57091	57402	-							G7082_RS00355	312		old_locus_tag=G7082_00355
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	57091	57402	-	WP_166033197.1	WP_166033197.1		rhodanese-like domain-containing protein			G7082_RS00355	312	103	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	57679	59226	-							G7082_RS00360	1548		old_locus_tag=G7082_00360
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	57679	59226	-	WP_166033198.1	WP_166033198.1		ATP-binding cassette domain-containing protein			G7082_RS00360	1548	515	
gene	pseudogene	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	59567	60378	+							G7082_RS00365	812		pseudo;old_locus_tag=G7082_00365
CDS	without_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	59567	60378	+				NUDIX hydrolase			G7082_RS00365	812		pseudo
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	60403	61113	+							G7082_RS00370	711		old_locus_tag=G7082_00370
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	60403	61113	+	WP_166033199.1	WP_166033199.1		alpha/beta hydrolase			G7082_RS00370	711	236	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	61323	62981	-							G7082_RS00375	1659		old_locus_tag=G7082_00375
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	61323	62981	-	WP_166033200.1	WP_166033200.1		glycerol-3-phosphate dehydrogenase/oxidase			G7082_RS00375	1659	552	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	63136	63672	+							G7082_RS00380	537		old_locus_tag=G7082_00380
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	63136	63672	+	WP_166033201.1	WP_166033201.1		DUF2179 domain-containing protein			G7082_RS00380	537	178	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	63740	64573	-							G7082_RS00385	834		old_locus_tag=G7082_00385
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	63740	64573	-	WP_166033202.1	WP_166033202.1		kinase/pyrophosphorylase			G7082_RS00385	834	277	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	64570	65196	-							G7082_RS00390	627		old_locus_tag=G7082_00390
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	64570	65196	-	WP_166033203.1	WP_166033203.1		helix-turn-helix transcriptional regulator			G7082_RS00390	627	208	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	65214	67844	-					ppdK		G7082_RS00395	2631		old_locus_tag=G7082_00395
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	65214	67844	-	WP_166033204.1	WP_166033204.1		pyruvate, phosphate dikinase	ppdK		G7082_RS00395	2631	876	
